"country","age_group_model","date","population","S","V","R","cum_hosp","cum_deaths","cum_inc_hosp","cum_inc_deaths","cum_hosp_u","cum_deaths_u","cum_inc_hosp_u","cum_inc_deaths_u","cum_hosp_v","cum_deaths_v","cum_inc_hosp_v","cum_inc_deaths_v","cum_hosp_i","cum_deaths_i","cum_inc_hosp_i","cum_inc_deaths_i","cum_prop_v","cum_prop_exp","population_q95l","S_q95l","V_q95l","R_q95l","cum_hosp_q95l","cum_deaths_q95l","cum_inc_hosp_q95l","cum_inc_deaths_q95l","cum_hosp_u_q95l","cum_deaths_u_q95l","cum_inc_hosp_u_q95l","cum_inc_deaths_u_q95l","cum_hosp_v_q95l","cum_deaths_v_q95l","cum_inc_hosp_v_q95l","cum_inc_deaths_v_q95l","cum_hosp_i_q95l","cum_deaths_i_q95l","cum_inc_hosp_i_q95l","cum_inc_deaths_i_q95l","cum_prop_v_q95l","cum_prop_exp_q95l","population_q95u","S_q95u","V_q95u","R_q95u","cum_hosp_q95u","cum_deaths_q95u","cum_inc_hosp_q95u","cum_inc_deaths_q95u","cum_hosp_u_q95u","cum_deaths_u_q95u","cum_inc_hosp_u_q95u","cum_inc_deaths_u_q95u","cum_hosp_v_q95u","cum_deaths_v_q95u","cum_inc_hosp_v_q95u","cum_inc_deaths_v_q95u","cum_hosp_i_q95u","cum_deaths_i_q95u","cum_inc_hosp_i_q95u","cum_inc_deaths_i_q95u","cum_prop_v_q95u","cum_prop_exp_q95u","pop_prop_u","pop_prop_v","pop_prop_i","prevS","prevS_q95l","prevS_q95u","prevV","prevV_q95l","prevV_q95u","prevR","prevR_q95l","prevR_q95u"
"Austria","0-39",2021-11-21,4109183,1869577.74538215,1783070.62647502,440192.224488566,8781.7413060316,222.959634255236,0.00213710153722324,5.42588719595199e-05,8364.25518780182,212.219515652866,0.00203550321020062,5.16451848586119e-05,340.694230788791,8.61596910966588,8.29104546545606e-05,2.09675965019467e-06,78.8985594540875,2.03471586796265,1.92005465451618e-05,4.95163118304209e-07,0.474914363315872,0.112003714108521,4109183,1704918.78484921,1708553.94493193,304423.519967454,4693.36267108426,178.14400635144,0.00114216443295036,4.3352658265996e-05,4464.30635028716,168.781122898037,0.00108642188734042,4.10741314996282e-05,182.065026005312,7.09904048570982,4.43068673274741e-05,1.72760387787787e-06,41.8459846313034,1.42410438737002,1.018352909357e-05,3.46566309499972e-07,0.474914363315872,0.0770614413351038,4109183,1963018.45372046,1833147.8760408,666479.97385532,12417.5382733037,267.580346205041,0.00302189955358613,6.51176514175789e-05,11852.4143205535,254.753574043606,0.00288437247028266,6.19961617780483e-05,475.347276165591,10.2834279378753,0.000115679266697441,2.5025480583063e-06,135.085431673589,2.95789181751289,3.28740364382869e-05,7.19824796684132e-07,0.474914363315872,0.170126152603056,0.207583245845416,0.197978174017923,0.0488754912604999,0.454975537809378,0.414904564934005,0.477715023575358,0.433923392186482,0.415789207959813,0.446110060330923,0.107124025503017,0.0740837095761991,0.162192818829271
"Austria","40-49",2021-11-21,1178265,340996.71608818,746801.254592164,88838.3861077646,5206.9184493331,369.200012485974,0.00441914038805626,0.000313342085597021,4715.38564684001,334.018262149207,0.00400197378929189,0.000283483140167286,443.692709418619,31.4432818804028,0.00037656444808139,2.66860866446876e-05,49.8297430674688,3.5315532136291,4.22907775988159e-05,2.99724867803856e-06,0.680618512649189,0.0771885434617523,1178265,321968.864693525,729589.439536719,66676.0495736861,3107.54293736481,310.220410919349,0.0026373888194632,0.000263285772656702,2805.88013550913,280.196702821343,0.00238136593678768,0.000237804486105709,265.412056360134,26.5004566917043,0.000225256675162323,2.24910836625923e-05,27.7955113106253,2.77009180341585,2.35902036559054e-05,2.35099218207776e-06,0.680618512649189,0.0577232709094125,1178265,350734.087905827,759844.949983477,122105.127054889,7418.83249001281,425.842696234566,0.00629640402626982,0.000361415043504276,6711.74319014863,386.174329560689,0.00569629344005688,0.000327748282059374,629.729539612406,36.1141465007184,0.0005344549312866,3.06502751933719e-05,82.5204501820292,4.80081992323439,7.00355609154385e-05,4.07448233057453e-06,0.680618512649189,0.108361542375304,0.0378616002052074,0.0829189525883998,0.00986391744845494,0.289405792489958,0.273256750131359,0.297669953623189,0.633814341079608,0.619206578771939,0.644884597253994,0.0753976279595546,0.0565883307861017,0.103631294364926
"Austria","50-59",2021-11-21,1407000,261408.682806966,962540.261525777,174791.356204315,8947.59006285731,808.103304130204,0.00635933906386447,0.000574344921201282,7619.88956548659,687.474887905215,0.0054156997622506,0.000488610439165042,1129.64701034175,101.43326996566,0.000802876339972812,7.2091876308216e-05,209.463700879075,18.7505411416388,0.000148872566367502,1.33266106195016e-05,0.775077469793888,0.130911597990247,1407000,241187.316001659,936338.223475294,144949.950296572,5142.03208937686,662.150938369225,0.00365460702869713,0.00047061189649554,4332.97734394762,560.482938754903,0.00307958588766711,0.000398353190301992,647.220962629423,84.5637969050202,0.000460000684171587,6.01022010696661e-05,112.741944934524,16.7182493718023,8.0129314097032e-05,1.18821957155666e-05,0.775077469793888,0.107178460655904,1407000,272509.825498239,984804.411280264,208898.075145793,12943.3977770302,948.488606131943,0.00919928768801012,0.000674121255246583,11021.0728116751,813.970172009842,0.00783302971689772,0.000578514692260016,1630.00885375107,118.283720921187,0.00115849954069017,8.40680319269277e-05,314.435270473641,21.2274714378742,0.000223479225638693,1.50870443765986e-05,0.775077469793888,0.165152570081542,0.0290247693647812,0.106872919426827,0.019407460939367,0.185791530068916,0.171419556504377,0.193681468015806,0.684108217146963,0.665485588823947,0.699932062032881,0.124229819619272,0.103020575903747,0.148470558028283
"Austria","60-69",2021-11-21,1033320,119385.545772653,796233.715205408,110247.463801017,13222.9953089333,1757.54718300972,0.0127966121907379,0.00170087405935211,10267.6821283215,1362.19534479812,0.00993659478992134,0.00131827056942489,2576.7445081893,344.452737308856,0.00249365589380763,0.000333345659920311,385.841851389482,51.5142556107485,0.000373400158120894,4.98531486961914e-05,0.860768203460691,0.114765964454508,1033320,111082.80504824,778135.12439706,95764.2585725499,7499.59726832179,1336.29493292686,0.00725776842442012,0.00129320533128833,5815.9548725964,1029.39909717943,0.00562841604981651,0.000996205528954665,1464.7643888197,262.905305315767,0.00141753221540249,0.000254427771954252,219.033893778744,41.3785883933261,0.000211971019411938,4.00443119201468e-05,0.860768203460691,0.0970269592274312,1033320,124212.280582735,809527.907676899,129789.120876429,19792.249275932,2347.33932750184,0.0191540367707312,0.00227164801562133,15350.9673443595,1820.53169180069,0.014855966539271,0.00176182759629223,3861.96042596579,459.220705172864,0.00373742928228022,0.000444412868397847,590.62542480438,65.7588613324438,0.000571580366976716,6.36384288820925e-05,0.860768203460691,0.141309720825599,0.0132556344124904,0.0884075452128939,0.0122410134794165,0.115535889920502,0.107500875864437,0.120206983879858,0.77055869934329,0.753043708045,0.783424212902972,0.106692470678025,0.0926762847642066,0.125603995738424
"Austria","70-79",2021-11-21,790437,120340.520264654,580167.143877722,86255.8206727435,19302.9253564026,5074.01284127126,0.0244205741335523,0.00641925016322776,15945.0464567024,4190.7813294733,0.0201724444284648,0.00530185369545365,2908.65060973852,758.937935171484,0.00367980067954627,0.000960149809752686,468.704477709355,121.970602908357,0.000592968797904646,0.000154307810626725,0.820575200806642,0.114429803276597,790437,115325.311393559,569053.36893239,76438.7336357266,10591.0429756451,3975.85429507012,0.0133989716772432,0.00502994456872606,8740.47889141794,3260.94748461671,0.0110577805586251,0.0041254995459685,1587.94686186953,598.182234079427,0.0020089480399697,0.000756774080767255,256.099963759635,106.111768756511,0.000323997945136216,0.000134244435364882,0.820575200806642,0.0997721888347773,790437,123522.582796219,588037.974903241,99620.4283434201,29295.984904411,6564.21063337426,0.0370630232446242,0.00830453361036269,24218.3038635383,5451.05997153015,0.0306391323578454,0.00689626114608773,4365.9271331135,978.827973242283,0.00552343467362168,0.00123833774638875,717.0815298783,149.537097050633,0.000907196310241423,0.000189182815392792,0.820575200806642,0.13489938730054,0.0133616672882232,0.0644172081939201,0.00957716964300314,0.152245555641568,0.145900699731363,0.156271256021946,0.733982776461277,0.719922484565361,0.743940345534484,0.109124219479533,0.0967043972330832,0.126032091543564
"Austria","80+",2021-11-21,488195,1860.62513659825,404208.930297943,75142.6681636021,7589.04640195971,2431.93241557991,0.0155451129199597,0.00498147751529595,749.006337291588,240.627521771424,0.00153423598621778,0.00049289222907122,5601.89493223948,1791.84068309446,0.011474707713597,0.00367033804749017,1246.58037625349,400.227506399447,0.00255344765156032,0.000819810744475971,0.994309650856726,0.169839991178244,488195,1610.87918341034,389132.993995477,66451.8288021312,4202.20711271828,1936.53067161963,0.00860764062048624,0.00396671549610224,410.51193754364,180.408361000156,0.000840876980599228,0.000369541599156395,3073.44783677471,1405.64657788575,0.00629553321270129,0.00287927278625498,702.283748187027,337.451154732209,0.00143853121844146,0.000691222062356658,0.994309650856726,0.146421939799718,488195,2026.80460439839,415086.350821931,86862.4424183929,11040.0523328192,3063.12696778074,0.0226140217184101,0.00627439233867766,1126.96063720256,319.537670305154,0.00230842314485515,0.00065452876474596,8176.85056147408,2282.33542616806,0.0167491485194934,0.00467504875340398,1874.46385648836,468.592223339028,0.00383958020153496,0.000959846420670077,0.994309650856726,0.203742967184555,0.000206589218400054,0.0448801885656803,0.00834325237204678,0.00381123349603795,0.00329966342017092,0.00415162917358513,0.827966141189368,0.797085168826958,0.850247034119421,0.153919372717054,0.136117389162386,0.177925710870437
"Belgium","0-39",2021-11-21,5505036,1757195.83000386,2672842.62200014,1042059.2929734,8445.85007146001,214.514111018317,0.00153420433062745,3.8966886141765e-05,7795.64924790048,198.286867635172,0.001416094145052,3.60191772833405e-05,446.140695435619,11.2920413132573,8.10422848162336e-05,2.05122024874266e-06,189.726382881571,4.79612798555333,3.44641493500808e-05,8.71225544311306e-07,0.588039315772364,0.196199915589725,5505036,1486246.72718717,2493810.35673076,805695.409846527,5035.28140061641,164.936334567035,0.000914668205733152,2.99609910937975e-05,4654.08768533009,150.844627601742,0.000845423660323036,2.74012063866144e-05,268.466727278163,9.01622778862181,4.87674789552988e-05,1.63781450087189e-06,111.693670403737,3.94259234944788,2.02893623954026e-05,7.16179212896679e-07,0.588039315772364,0.149577758944345,5505036,1888254.9346862,2797189.27178322,1391545.07145783,11949.1110168269,258.408207107439,0.00217057817911217,4.69403301100009e-05,11090.1698215528,240.678860281653,0.00201454991784845,4.37197613751577e-05,628.486550626457,13.4076298931181,0.000114165747622079,2.43552083821397e-06,297.089012146064,5.97425365017454,5.39667700894352e-05,1.0852342564471e-06,0.588039315772364,0.278704253691011,0.151618123499852,0.230623915580994,0.0899131854733924,0.319197881722092,0.269979474645973,0.343005011172714,0.485526819806471,0.453005276755821,0.508114619374554,0.189292003353547,0.146356065581865,0.252776743232529
"Belgium","40-49",2021-11-21,1518439,215363.776667447,1102920.20956492,194052.990742233,3735.13372906443,258.958124681492,0.00245985102402166,0.000170542329775178,3018.89910631871,209.934443648986,0.0019881596207149,0.000138256751604105,597.246362320338,41.457714849342,0.000393329177082739,2.73028517110941e-05,110.295193507588,7.67585652688343,7.26372238249863e-05,5.05509706144496e-06,0.828881105699849,0.132825746897946,1518439,188112.737219773,1059420.48198027,153112.870575877,2167.22077957357,213.540268260146,0.00142726891206928,0.000140631443383729,1742.07482343553,169.426536247436,0.00114728008397804,0.000111579415602099,348.924212821703,34.7687523747077,0.000229791392885525,2.28976945235915e-05,62.9039692088845,6.41739713785191,4.14267344350906e-05,4.2263121125392e-06,0.828881105699849,0.102969282522161,1518439,227236.481581994,1135474.66446771,243381.237917478,5331.91096548195,304.983646883953,0.00351144232035792,0.000200853407271515,4297.08307736775,248.793684938924,0.00282993460874474,0.000163848323797613,850.832558151582,48.2617921196021,0.00056033370991629,3.17838201729553e-05,173.742779713278,9.32436204802108,0.000114421968688421,6.14075510970218e-06,0.828881105699849,0.179604673441134,0.0185824773372515,0.0951645170612139,0.0167436945919721,0.14183235327033,0.1238856070081,0.14965137327347,0.726351344746096,0.697703682518869,0.747790767009877,0.127797686138352,0.100835707312494,0.160283842760544
"Belgium","50-59",2021-11-21,1598741,111680.001988625,1162881.12088996,310784.62957805,4973.0403938783,453.004684002496,0.00311059789789484,0.000283350889232525,3217.63493599486,294.175046033705,0.00201260550395271,0.000184004192069701,1386.79210671061,125.409942232443,0.000867427623805615,7.84429386826531e-05,366.486366289967,33.4026833755472,0.000229234357716457,2.08931173814565e-05,0.90161258139999,0.203538294854426,1598741,95857.831571746,1097005.48244656,260298.434491264,2706.55100720975,365.123852625291,0.00169292650104661,0.000228382116068388,1730.47272600186,226.905569669158,0.00108239716502039,0.000141927660370978,753.873383518947,102.309360131165,0.000471541909239174,6.39937051287012e-05,201.166438177896,30.4287998806788,0.000125828034796065,1.90329764988067e-05,0.90161258139999,0.168702945583768,1598741,120903.829682,1208858.29715958,371301.050361072,7174.4528246219,547.046121124142,0.00448756416744295,0.000342173073139516,4707.84582597701,365.78596610767,0.00294472076839026,0.000228796262876645,1975.73164951098,149.689137530682,0.00123580470477143,9.36293855794543e-05,546.050685952963,37.3139537774868,0.000341550436220102,2.33395864480155e-05,0.90161258139999,0.25425402862972,0.00963621244988833,0.100338192472465,0.0268157831612411,0.0698549683711276,0.0599583244388841,0.0756244005013945,0.727373052226697,0.686168355253642,0.756131416633199,0.194393356758881,0.162814636323998,0.232245904972145
"Belgium","60-69",2021-11-21,1369876,78999.572960271,1068361.2820006,211736.683914163,12172.5904812136,1608.47732619241,0.00888590681288931,0.0011741773169195,7515.59609877638,995.556344157409,0.00548633314166858,0.000726749241652098,3808.72326254604,503.108594688986,0.00278034162402002,0.000367265792443248,826.56648150306,109.15558948234,0.000603387811380782,7.96828249289279e-05,0.923514975078038,0.163612028738698,1369876,71768.0136768739,1033533.71335609,187710.212152235,6189.467027861,1217.28064488779,0.00451826809715697,0.000888606446778968,3754.69238543829,734.596241511913,0.00274089945764309,0.00053625017265206,1916.38313214547,384.917061120184,0.00139894642445409,0.000280986790862957,434.247067556317,88.4888617963653,0.000316997354181194,6.45962567388328e-05,0.923514975078038,0.142582984353226,1369876,83339.9670201093,1091867.41252071,242339.874437982,18799.7111448868,2216.20945620732,0.0137236590354797,0.00161781756612081,11742.7979414147,1392.41829056851,0.00857216123314427,0.00101645571611482,5823.351903743,690.030966115962,0.00425100659018992,0.000503717830019624,1284.84251413996,141.103836557302,0.000937926143782324,0.000103004824201097,0.923514975078038,0.194962459819036,0.00681640987589848,0.0921826298645791,0.0182695167738227,0.0576691415575359,0.0523901533254644,0.0608375991842395,0.779896342443114,0.754472458351044,0.797055655052505,0.154566313968683,0.137027155853694,0.176906431266758
