"country","age_group_model","date","population","S","V","R","cum_hosp","cum_deaths","cum_inc_hosp","cum_inc_deaths","cum_hosp_u","cum_deaths_u","cum_inc_hosp_u","cum_inc_deaths_u","cum_hosp_v","cum_deaths_v","cum_inc_hosp_v","cum_inc_deaths_v","cum_hosp_i","cum_deaths_i","cum_inc_hosp_i","cum_inc_deaths_i","cum_prop_exp","population_q95l","S_q95l","V_q95l","R_q95l","cum_hosp_q95l","cum_deaths_q95l","cum_inc_hosp_q95l","cum_inc_deaths_q95l","cum_hosp_u_q95l","cum_deaths_u_q95l","cum_inc_hosp_u_q95l","cum_inc_deaths_u_q95l","cum_hosp_v_q95l","cum_deaths_v_q95l","cum_inc_hosp_v_q95l","cum_inc_deaths_v_q95l","cum_hosp_i_q95l","cum_deaths_i_q95l","cum_inc_hosp_i_q95l","cum_inc_deaths_i_q95l","cum_prop_exp_q95l","population_q95u","S_q95u","V_q95u","R_q95u","cum_hosp_q95u","cum_deaths_q95u","cum_inc_hosp_q95u","cum_inc_deaths_q95u","cum_hosp_u_q95u","cum_deaths_u_q95u","cum_inc_hosp_u_q95u","cum_inc_deaths_u_q95u","cum_hosp_v_q95u","cum_deaths_v_q95u","cum_inc_hosp_v_q95u","cum_inc_deaths_v_q95u","cum_hosp_i_q95u","cum_deaths_i_q95u","cum_inc_hosp_i_q95u","cum_inc_deaths_i_q95u","cum_prop_exp_q95u","pop_prop_u","pop_prop_v","pop_prop_i"
"Austria","0-39",2021-10-31,4109183,1984113.72899383,1886056.02453129,230201.070422823,1821.36674319565,76.217390143982,0.000443243034733583,1.85480642122733e-05,1741.56497533686,72.8789839978211,0.000423822685759397,1.77356384463338e-05,70.8547430657828,2.96411866656901,1.72430244809693e-05,7.21340146342719e-07,8.64811940161256,0.361783150144773,2.10458366094004e-06,8.80425987707954e-08,0.0585219611958274,4109183,0,1863638.24323394,4542.77267209068,70.9647212322308,2.96871946422882,1.72697884791772e-05,7.22459784397245e-07,0,0,0,0,70.0125591045068,2.92888696446566,1.70380728004829e-05,7.12766251701533e-07,0.170661415302992,0.00713940471554651,4.1531714528896e-08,1.73742681101e-09,0.0363552514264798,4109183,2073309.73536768,1887837.60066241,2483359.60160877,1896.33128554152,79.3544626474674,0.00046148620919086,1.93114939508577e-05,1819.85718125763,76.155265103182,0.00044287567169864,1.85329456252452e-05,70.9216727419859,2.96691858502185,1.72593123114706e-05,7.22021527155605e-07,93.2940507722524,3.9028387572746,2.27037955652626e-05,9.49784606155188e-07,39.8629140792752,0.220300422920793,0.209412864688587,0.0255597209121095
"Austria","40-49",2021-10-31,1178265,332510.790366971,780302.22217148,65139.6933701892,1916.33210623507,145.198934420912,0.00162640162122703,0.000123231135967641,1727.34203116333,130.884210006997,0.00146600470281586,0.000111082150455965,174.425863818048,13.2115848255124,0.000148036192043427,1.12127448625839e-05,14.561085387299,1.10290418252711,1.23580734277085e-05,9.36040858828117e-07,0.0556888861247009,1178265,308636.016701045,773237.113973124,47582.7716732378,1797.24235762094,136.175121958785,0.0015253294951653,0.000115572576592519,1603.3162815263,121.486527342588,0.00136074336547915,0.000103106285379425,172.846555742984,13.0919628718491,0.000146695824575103,1.11112210511634e-05,10.6364762474526,0.805641463437766,9.02723601859738e-06,6.83752350649273e-07,0.0404838634372679,1178265,349275.983292686,781790.485183627,92912.3132957043,1999.71956523307,151.517479281641,0.00169717301730347,0.000128593719818242,1814.43461053252,137.483391432885,0.00153992065497364,0.000116682912106262,174.758544610318,13.2367831556837,0.000148318540065536,1.12341308242914e-05,20.7692738088536,1.57313265752949,1.76269971601071e-05,1.3351263574234e-06,0.080833665133426,0.0369193895859579,0.0866386372103704,0.0072326005252031
"Austria","50-59",2021-10-31,1407000,196249.339137553,1072055.95877448,137255.185335292,3025.59452688583,314.253037568199,0.00215038701271203,0.000223349706871499,2427.36316617827,252.141628843432,0.00172520480893978,0.000179205137770741,531.279598585006,55.1600590122557,0.000377597440358924,3.92040220414042e-05,68.019658089494,7.0621352000017,4.83437513073874e-05,5.01928585643333e-06,0.099186061408064,1407000,164848.058031558,1059908.64263064,114196.221733213,2651.32967451622,275.375586189737,0.00188438498544152,0.000195718255998392,2038.96790603383,211.797186407951,0.00144915984792739,0.000150531049330456,525.259743751906,54.5350480976198,0.000373318936568519,3.87598067502628e-05,56.592309707136,5.87569172879881,4.02219685196418e-05,4.17604245117186e-06,0.0819148200581378,1407000,218381.95476392,1074466.71500297,169648.417210388,3290.0471379963,341.723348447578,0.00233834196019637,0.000242873737347248,2701.11642404258,280.577667299013,0.00191977002419515,0.000199415541790343,532.474298909068,55.2840986715099,0.000378446552174177,3.92921810032053e-05,84.0727970013338,8.7288509784118,5.97532316995976e-05,6.20387418508302e-06,0.125495000114457,0.0217899870245107,0.119032683289047,0.015239739000632
"Austria","60-69",2021-10-31,1033320,58898.1001696006,875334.569122346,96475.9085016296,4246.43094582471,629.840479325635,0.0041095023282475,0.00060953090942364,2619.1603415039,388.566976536446,0.0025347040040877,0.000376037410034109,1484.55681495975,220.116966775324,0.00143668642333425,0.000213019168094418,165.552206496934,24.5466183374431,0.000160213880014839,2.37550984568605e-05,0.0964085159081853,1033320,44800.6691245437,866178.461496559,84000.4253767425,3345.99287075413,496.271576553427,0.00323809939878656,0.000480269013038969,1878.47933397764,278.682837290816,0.00181790668329041,0.000269696548301413,1211.66334455949,179.654734308374,0.00117259256044545,0.000173861663674732,124.400198444935,18.4449622082601,0.000120388842222095,1.78501937524291e-05,0.0831234856160487,1033320,70566.988669837,878584.358950367,111656.303621165,6277.5398086122,931.102458659496,0.00607511691306875,0.000901078522296574,3931.40550666574,583.245831519691,0.00380463506625802,0.000564438732938191,2079.48243494827,308.327280863136,0.00201242832321863,0.00029838508967516,228.333353174303,33.8552520239712,0.00022097061237013,3.27635698757125e-05,0.11590288484941,0.00653958298205727,0.0971902834786759,0.0107119280180349
"Austria","70-79",2021-10-31,790437,68675.3430255149,638984.085443823,80947.5932934856,9732.31198839015,2552.14295707462,0.0123125713856894,0.00322877466145261,6980.92932969161,1831.00019456434,0.00883173400244625,0.00231644039254785,2443.0000356017,640.305627472305,0.00309069544517994,0.000810065353054456,310.28454367847,81.3249842569352,0.000392548101465986,0.000102886105100008,0.104956573021046,790437,58546.3002522068,634321.268481041,71429.9542471489,7609.06922999177,1995.2797624096,0.00962640821468601,0.00252427424628351,5221.11886101367,1369.42650453416,0.00660535736689157,0.00173249291788487,2059.4817414002,539.78621755125,0.00260549764421478,0.000682895939273149,254.135133987777,66.6083315838855,0.000321512193872221,8.42677298556184e-05,0.0917283083446015,790437,77992.116789883,640730.062771448,91559.3667881377,13241.1411306332,3472.26228845324,0.0167516717089828,0.00439283875685632,9593.36876919427,2516.20654691518,0.0121367911284445,0.00318331068372961,3264.84196582629,855.708822374797,0.00413042654357816,0.0010825768813641,405.426281833327,106.26145149405,0.000512914099205031,0.000134433802433401,0.121445286461535,0.007625171325448,0.0709477799613411,0.00898778571832092
"Austria","80+",2021-10-31,488195,0,465581.440322966,64972.6669985664,2894.85672468846,1628.31531656352,0.00592971399684237,0.00333537892965622,0,0,0,0,2537.89589718064,1427.52997962885,0.0051985290656001,0.00292409791093487,358.248410527034,201.509583883977,0.000733822367142297,0.000412764538522469,0.142694621224696,488195,0,453572.174734626,56470.2492081207,2546.24616865585,1432.22688736337,0.00521563344289853,0.0029337188774227,0,0,0,0,2219.28183145946,1248.3141452624,0.00454589217722316,0.00255699903780743,300.707806262066,169.143820684055,0.000615958390114741,0.000346467744823391,0.122040041509755,488195,0,470616.671123628,75233.066190962,3427.60921985363,1927.98094091604,0.00702098386885083,0.00394920255413522,0,0,0,0,3032.58967119883,1705.78812013461,0.00621184090619286,0.00349407126278354,424.121202099343,238.562082733823,0.000868753678549234,0.000488661462599622,0.174829170535702,0,0.0516945106061208,0.00721405522723467
"Belgium","0-39",2021-10-31,5505036,1371379.10241998,3140401.1539485,955711.875856064,1324.99028704255,50.9142908042805,0.000240686943199381,9.24867535912217e-06,1191.75325461706,45.794564043707,0.00021648418913465,8.31866749712573e-06,101.799983145556,3.91173619567861,1.84921557543958e-05,7.10574135333286e-07,30.9805811693287,1.1904506953596,5.62768003139829e-06,2.16247576829578e-07,0.18047416249795,5505036,1023645.35523548,3058285.3229219,738091.686472322,1022.42596115295,39.2878909047068,0.000185725572212962,7.13671825301539e-06,889.56633619601,34.1826652423484,0.000161591374914898,6.20934454240597e-06,99.138097034611,3.80945134329244,1.80086192051444e-05,6.91993902182009e-07,23.926153876324,0.919379348104327,4.34623022925264e-06,1.67006963824456e-07,0.136443757747361,5505036,1601161.21462732,3164719.27212476,1264149.12126789,1517.16448084215,58.2988212974002,0.00027559574194286,1.05900890198357e-05,1391.43806795032,53.4676951531196,0.000252757305846923,9.7125059950779e-06,102.58828498953,3.94202725036163,1.86353522464757e-05,7.16076561599529e-07,40.9789555314406,1.57464528637732,7.443903279005e-06,2.86037236882251e-07,0.258691813962794,0.118328260610186,0.270966799413242,0.0824627732149248
"Belgium","40-49",2021-10-31,1518439,101497.291203637,1230102.04997637,183607.871680496,808.900868473924,60.8680561834585,0.00053271871209441,4.00859410114325e-05,527.262700112005,39.6756665887632,0.000347239961639555,2.6129246277765e-05,245.13622373375,18.4457327964521,0.000161439625650915,1.21478260216262e-05,36.5895986535526,2.75325265932916,2.40968512094017e-05,1.81321255534741e-06,0.123943148358434,1518439,53792.3100708576,1201558.83114933,146374.49117518,570.103486741848,42.8989253696062,0.00037545366441579,2.82519912684054e-05,279.442715336291,21.027612994407,0.000184032888602236,1.38481776313747e-05,239.448096576656,18.0177190494265,0.000157693589651383,1.18659485494159e-05,29.1696855706581,2.19492744726819,1.92103110962364e-05,1.44551572191454e-06,0.0977851903361932,1518439,134407.804541563,1237113.63663953,236830.674497251,973.200157767563,73.2313226278797,0.000640921471173727,4.82280306471842e-05,698.227717196178,52.5405079946373,0.00045983257621556,3.46016586735702e-05,246.533501201113,18.5508735480428,0.000162359832170481,1.22170686791124e-05,47.1959031461563,3.55134384164609,3.10818565290777e-05,2.3388123208414e-06,0.168213031582325,0.00875760605041937,0.106138292241639,0.0158424465211355
"Belgium","50-59",2021-10-31,1598741,0,1397641.40332701,278975.987384236,843.193884024692,87.9472767531325,0.000527411184190993,5.50103342274531e-05,0,0,0,0,704.410195136169,73.4717833621699,0.000440603071501994,4.59560262495113e-05,140.603683637194,14.6653234939594,8.79465051795094e-05,9.17304522368502e-06,0.189876815729758,1598741,0,1351409.05295514,236747.231781569,823.873318077776,85.9320923542016,0.000515326321197602,5.37498521362757e-05,0,0,0,0,681.10912601391,71.0414223105008,0.000426028434883392,4.44358544069995e-05,119.320423207428,12.4454250451101,7.46339921271976e-05,7.78451609429552e-06,0.156885433123818,1598741,0,1411734.45709383,333623.508442271,866.968773360326,90.4270584638297,0.000542282191649758,5.6561418305923e-05,0,0,0,0,711.513083423765,74.21263276088,0.000445045872610864,4.64194217580459e-05,168.145992329942,17.5380566706512,0.000105174004000612,1.09699173728898e-05,0.238758808168115,0,0.120594280546225,0.0240712019608101
"Belgium","60-69",2021-10-31,1369876,0,1237256.88904444,193694.722014558,2731.85398344938,414.379293658388,0.00199423450257497,0.000302494016727344,0,0,0,0,2356.85650243854,357.498072243785,0.00172048893654501,0.000260971118731757,372.389123249232,56.4855745559441,0.000271841482914681,4.12340785267747e-05,0.149938825397571,1369876,0,1218933.32271804,173330.095691642,2202.89670071874,334.144791184495,0.00160809934674287,0.00024392338517099,0,0,0,0,1893.21407219139,287.170805881882,0.00138203317102525,0.000209632700975768,291.297025186515,44.1851783707582,0.000212644812513333,3.22548744344439e-05,0.132879026082354,1369876,0,1243810.60406834,220695.490343168,3702.33357197866,561.585787431849,0.00270267788615806,0.000409953738463809,0,0,0,0,3208.29951411435,486.648589037917,0.002342036442798,0.00035525010222671,503.291267907378,76.3413715972341,0.000367399142628514,5.57286729581612e-05,0.175145841195281,0,0.106755641346913,0.0167127816844456
"Belgium","70-79",2021-10-31,939413,0,876068.047916245,100173.873862919,3961.52478976947,988.888486733661,0.00421702146954478,0.00105266638500176,0,0,0,0,3545.99934646033,885.163696750151,0.00377469690802696,0.000942251913429079,408.600666700458,101.996205101444,0.00043495317469575,0.00010857440242092,0.111586107488805,939413,0,867003.166994273,89841.5448322611,3146.28558495091,785.385869342266,0.00334920379529654,0.000836038961928637,0,0,0,0,2820.8205145411,704.142237649392,0.00300274800810836,0.000749555560386531,315.022592895502,78.6369470613549,0.000335339826993561,8.37086000101711e-05,0.0991439215727177,939413,0,879516.004727179,115218.472322308,5123.21499196968,1278.87331002034,0.0054536343354517,0.00136135364320095,0,0,0,0,4610.1641662263,1150.80392219345,0.00490749453778721,0.00122502448038663,531.946045338941,132.786072968078,0.000566253655568893,0.000141350048347296,0.130589665508981,0,0.0755907743549264,0.00864341612896568
"Belgium","80+",2021-10-31,658111,0,589068.522881712,130650.080523445,4898.85847219509,2755.95243680561,0.00744381794590137,0.00418767113268978,0,0,0,0,3997.44880346682,2248.84610025968,0.00607412549473694,0.00341712279578928,891.086955568093,501.299084376932,0.00135400708325509,0.000761724214269221,0.205588147206851,658111,0,585415.369981172,117546.946861118,4233.26456975601,2381.50905417651,0.00643244767183044,0.00361870422189647,0,0,0,0,3464.29102140842,1948.90734983333,0.0052639919730994,0.00296136571160995,746.786832891663,420.120116464585,0.00113474297328515,0.000638372731141988,0.184207846866912,658111,0,591019.031467473,147748.66701197,5815.11744389215,3271.41255065168,0.00883607392049692,0.00497091303845656,0,0,0,0,4771.36930801537,2684.23081539489,0.00725009809593726,0.00407869009239307,1073.90304844636,604.145994430527,0.00163179622958188,0.000918000146526236,0.232025857679887,0,0.0508272683824651,0.0112730292809913
"Czechia","0-39",2021-10-31,4758526,1842203.89903923,1811012.31483957,1101872.16433679,1707.67212641246,71.590213794279,0.000358865776169441,1.50446196562295e-05,1619.22099341163,67.8821044598718,0.000340277849361679,1.42653637827915e-05,55.0065560120167,2.30602273671741,1.1559578746027e-05,4.84608623913667e-07,33.4675763544121,1.40305079269533,7.03318135792724e-06,2.94849874245792e-07,0.232717959579768,4758526,1507001.45117723,1784563.55203024,861989.813462134,1423.08066232663,59.6593732047899,0.00029905913350618,1.25373641343538e-05,1324.59191304534,55.5304600013836,0.0002783618105786,1.16696767026982e-05,54.2032178232042,2.27234463972348,1.13907579412625e-05,4.77531201830877e-07,26.1815397761074,1.09760054770172,5.50202726140562e-06,2.30659777355787e-07,0.181290546826226,4758526,2081231.71349132,1815409.87870281,1431772.50757962,1910.61417887753,80.0980911664899,0.00040151386771398,1.68325425071734e-05,1829.31655089687,76.6898759980354,0.000384429243613857,1.61163091255644e-05,55.1401248679419,2.31162230231489,1.15876481221164e-05,4.85785367635879e-07,43.487763163897,1.82312396731437,9.13891468994746e-06,3.83127877690355e-07,0.307152135903153,0.172024184842148,0.169111528513128,0.102892335082531
"Czechia","40-49",2021-10-31,1798354,367210.545039516,1015933.27132395,412112.563125529,2166.25477413654,161.296834440606,0.00120457639271052,8.96913702422359e-05,1907.60187972581,142.037840168231,0.00106074881793341,7.89821359800298e-05,183.800929413442,13.685603848063,0.000102205088327127,7.61007223720305e-06,74.5587080012802,5.55155485005022,4.14594167784987e-05,3.08702004724888e-06,0.231468739327466,1798354,278565.127433078,1001979.62098674,351122.361549972,1718.8315430935,127.982215587102,0.000955780420925744,7.11663085171787e-05,1447.10267146663,107.749599191179,0.000804681765362451,5.99156779984247e-05,181.276458591311,13.4976346810522,0.000100801320869702,7.505549341816e-06,63.524463872144,4.72995784074189,3.53236703519685e-05,2.63015949070199e-06,0.196011666987832,1798354,428619.741335197,1018405.76370515,501503.325146916,2474.37571960927,184.239165476786,0.00137591137207095,0.000102448775645277,2226.61313871209,165.791051305909,0.00123813950908002,9.21904426525082e-05,184.248248553841,13.7189107120093,0.000102453826417847,7.62859298670298e-06,90.7311334983754,6.75573487961743,5.04523211216342e-05,3.75662126567818e-06,0.284729680217532,0.0342899581901917,0.0948673992844466,0.0384828887680948
"Czechia","50-59",2021-10-31,1351270,0,964846.020422413,451113.523614472,614.405460179282,63.6384002004527,0.000454687412714914,4.70952512824622e-05,0,0,0,0,418.888086749692,43.3872571640238,0.000309995845944698,3.21085032332723e-05,195.851023701221,20.2857015989568,0.00014493848283557,1.50123229250681e-05,0.339139505035544,1351270,0,953651.035230685,391533.944257878,589.819975783835,61.091904447269,0.000436493058962187,4.52107309769839e-05,0,0,0,0,414.02778175916,42.8838403584611,0.000306399003721803,3.17359523695939e-05,169.984537777271,17.606523288062,0.00012579613088226,1.30296116157851e-05,0.291385981219393,1351270,0,967098.873475097,531837.348665461,651.14878771092,67.4441713625,0.000481879112028625,4.99116914920778e-05,0,0,0,0,419.866163339109,43.4885636032697,0.000310719666194845,3.21834745115852e-05,230.897287991062,23.9156956939913,0.000170874279745026,1.76986802741061e-05,0.403353315226517,0,0.0900968944034469,0.0421247811990414
