"WeekEndDate"	"LTLA"	"Lineage"	"Count"
"2020-09-05"	"E06000036"	"B.1.1.294"	1
"2020-09-05"	"E06000036"	"B.1.177"	1
"2020-09-05"	"E06000037"	"AD.2"	1
"2020-09-05"	"E06000037"	"B.1.1.269"	1
"2020-09-05"	"E06000038"	"AD.2"	1
"2020-09-05"	"E06000038"	"B.1.1.130"	4
"2020-09-05"	"E06000038"	"B.1.1.277"	1
"2020-09-05"	"E06000038"	"B.1.177.87"	1
"2020-09-05"	"E06000038"	"B.1.367"	2
"2020-09-05"	"E06000039"	"B.1"	2
"2020-09-05"	"E06000039"	"B.1.160"	1
"2020-09-05"	"E06000039"	"B.1.258"	1
"2020-09-05"	"E06000039"	"B.1.36.17"	3
"2020-09-05"	"E06000039"	"B.1.523"	1
"2020-09-05"	"E06000039"	"C.17"	2
"2020-09-05"	"E06000039"	"None"	1
"2020-09-05"	"E06000040"	"B.1.1"	3
"2020-09-05"	"E06000040"	"B.1.1.37"	1
"2020-09-05"	"E06000040"	"B.1.1.70"	1
"2020-09-05"	"E06000040"	"B.1.177"	1
"2020-09-05"	"E06000040"	"B.1.523"	1
"2020-09-05"	"E06000041"	"B.1.1.37"	1
"2020-09-05"	"E06000041"	"B.1.367"	1
"2020-09-05"	"E06000042"	"B.1.1"	2
"2020-09-05"	"E06000042"	"B.1.1.301"	1
"2020-09-05"	"E06000042"	"B.1.160"	3
"2020-09-05"	"E06000042"	"B.1.177.3"	1
"2020-09-05"	"E06000042"	"B.1.177.56"	1
"2020-09-05"	"E06000042"	"B.1.177.82"	1
"2020-09-05"	"E06000042"	"B.1.36.17"	1
"2020-09-05"	"E06000042"	"None"	1
"2020-09-05"	"E06000043"	"B.1.160"	3
"2020-09-05"	"E06000043"	"B.1.177"	3
"2020-09-05"	"E06000043"	"B.1.258"	1
"2020-09-05"	"E06000043"	"C.35"	1
"2020-09-05"	"E06000044"	"B.1"	1
"2020-09-05"	"E06000044"	"B.1.160"	2
"2020-09-05"	"E06000045"	"B.1"	1
"2020-09-05"	"E06000045"	"B.1.1.307"	2
"2020-09-05"	"E06000045"	"None"	1
"2020-09-05"	"E06000046"	"Lineage data suppressed"	1
"2020-09-05"	"E06000047"	"AD.2"	2
"2020-09-05"	"E06000047"	"B.1.1.309"	2
"2020-09-05"	"E06000047"	"B.1.177"	1
"2020-09-05"	"E06000047"	"B.1.389"	1
"2020-09-05"	"E06000049"	"B.1.160"	1
"2020-09-05"	"E06000049"	"B.1.389"	2
"2020-09-05"	"E06000050"	"B.1.1.37"	2
"2020-09-05"	"E06000050"	"B.1.177"	1
"2020-09-05"	"E06000051"	"Lineage data suppressed"	1
"2020-09-05"	"E06000052"	"AD.2"	2
"2020-09-05"	"E06000052"	"B.1"	1
"2020-09-05"	"E06000052"	"B.1.177.56"	2
"2020-09-05"	"E06000052"	"B.1.177.82"	1
"2020-09-05"	"E06000052"	"B.1.258"	2
"2020-09-05"	"E06000054"	"AD.2"	1
"2020-09-05"	"E06000054"	"B.1"	3
"2020-09-05"	"E06000054"	"B.1.1"	1
"2020-09-05"	"E06000054"	"B.1.1.269"	1
"2020-09-05"	"E06000054"	"B.1.1.37"	8
"2020-09-05"	"E06000054"	"B.1.1.70"	2
"2020-09-05"	"E06000054"	"B.1.177.57"	1
"2020-09-05"	"E06000054"	"B.1.221"	1
"2020-09-05"	"E06000054"	"B.1.258"	1
"2020-09-05"	"E06000054"	"B.1.36.17"	1
"2020-09-05"	"E06000054"	"None"	1
"2020-09-05"	"E06000055"	"AD.2"	1
"2020-09-05"	"E06000055"	"B.1.1.115"	1
"2020-09-05"	"E06000055"	"B.1.1.25"	2
"2020-09-05"	"E06000055"	"B.1.1.37"	1
"2020-09-05"	"E06000055"	"B.1.218"	1
"2020-09-05"	"E06000055"	"B.1.221.1"	1
"2020-09-05"	"E06000055"	"B.1.36.17"	1
"2020-09-05"	"E06000056"	"B.1.177"	5
"2020-09-05"	"E06000056"	"B.1.177.44"	1
"2020-09-05"	"E06000056"	"B.1.177.57"	1
"2020-09-05"	"E06000057"	"AD.2"	2
"2020-09-05"	"E06000057"	"B.1.1.37"	2
"2020-09-05"	"E06000057"	"B.1.177"	2
"2020-09-05"	"E06000057"	"B.1.177.10"	2
"2020-09-05"	"E06000057"	"B.1.36.20"	1
"2020-09-05"	"E06000058"	"AD.2"	4
"2020-09-05"	"E06000058"	"B.1.177"	1
"2020-09-05"	"E06000058"	"B.1.177.87"	3
"2020-09-05"	"E06000058"	"B.1.221"	2
"2020-09-05"	"E06000058"	"B.1.221.1"	1
"2020-09-05"	"E06000058"	"B.1.258"	1
"2020-09-05"	"E06000058"	"B.1.258.7"	1
"2020-09-05"	"E06000058"	"B.1.36.17"	1
"2020-09-05"	"E06000058"	"None"	1
"2020-09-05"	"E06000059"	"AK.1"	1
"2020-09-05"	"E06000059"	"B.1.1.277"	1
"2020-09-05"	"E06000059"	"B.1.160"	2
"2020-09-05"	"E06000059"	"B.1.258.7"	1
"2020-09-05"	"E07000004"	"B.1.1.115"	1
"2020-09-05"	"E07000004"	"B.1.160"	2
"2020-09-05"	"E07000004"	"None"	1
"2020-09-05"	"E07000005"	"AD.2"	3
"2020-09-05"	"E07000005"	"B.1"	1
"2020-09-05"	"E07000005"	"B.1.177.57"	1
"2020-09-05"	"E07000005"	"B.1.258"	1
"2020-09-05"	"E07000006"	"Lineage data suppressed"	1
"2020-09-05"	"E07000007"	"AD.2"	5
"2020-09-05"	"E07000007"	"B.1.1.37"	1
"2020-09-05"	"E07000007"	"B.1.160"	2
"2020-09-05"	"E07000007"	"B.1.177.81"	1
"2020-09-05"	"E07000007"	"B.1.258.3"	3
