"country","date","population","S","cum_v","cum_hosp","cum_deaths","cum_exp","cum_prop_v","cum_prop_exp","cum_inc_hosp","cum_inc_deaths","population_q95l","S_q95l","cum_v_q95l","cum_hosp_q95l","cum_deaths_q95l","cum_exp_q95l","cum_prop_v_q95l","cum_prop_exp_q95l","cum_inc_hosp_q95l","cum_inc_deaths_q95l","population_q95u","S_q95u","cum_v_q95u","cum_hosp_q95u","cum_deaths_q95u","cum_exp_q95u","cum_prop_v_q95u","cum_prop_exp_q95u","cum_inc_hosp_q95u","cum_inc_deaths_q95u","prop_pop_60plus"
"Austria",2021-11-21,9006400,2340749.23782749,5867291,24925.1140030741,4731.61966197352,975479.710036227,0.65145796322615,0.108309614278316,0.00276748911919014,0.000525361927293205,9006400,2123377.80478166,5867291,22324.9560088683,4206.53216598854,814908.301151845,0.65145796322615,0.0904810247326174,0.00247878797398164,0.000467060331096613,9006400,2476113.6155256,5867291,27676.0662737397,5355.54908096991,1272130.70452236,0.65145796322615,0.141247413452917,0.00307293327786237,0.000594638155197406,0.256701012613253
"Belgium",2021-11-21,11589616,1396504.05145293,8693334.00000001,21057.7956219279,4774.93644924136,2019828.58970493,0.75009681080029,0.174279164184985,0.00181695369561234,0.000412001264687403,11589616,1036747.20648875,8693334.00000001,19464.4386619763,4364.22845886585,1752649.72183605,0.75009681080029,0.151225866485659,0.00167947226741389,0.000376563680700538,11589616,1626918.64785718,8693334.00000001,23147.0217137655,5292.31726555571,2601294.31560497,0.75009681080029,0.224450431800758,0.00199722076329065,0.000456643021266253,0.256039544364542
"Czechia",2021-11-21,10708982,1975711.8530325,6171386,17275.7675239255,3266.83860471953,3249841.19246294,0.576281293590745,0.303468732365312,0.00161320352615454,0.000305055943199786,10708982,1521606.51123825,6171386,16109.1160197562,3097.73466099607,2879401.44770093,0.576281293590745,0.268877232934085,0.00150426212498595,0.000289265091770261,10708982,2284427.18282063,6171386,18315.0964886846,3476.44785146611,3871038.31304886,0.576281293590745,0.361475844580639,0.00171025560493842,0.000324629161900366,0.261540452677948
"Denmark",2021-11-21,5792203,1377722.38057137,4159196,7670.84275003782,1335.20538204369,381675.891820007,0.718068064948691,0.0658947712675138,0.00132433941801381,0.000230517711834977,5792203,1242172.04593008,4159196,7049.61616440431,1204.83178073245,273931.100697717,0.718068064948691,0.0472930766925325,0.00121708720574958,0.000208009246349352,5792203,1451021.09680958,4159196,9624.63608986124,1675.62551281955,513388442.979656,0.718068064948691,88.6344009316758,0.00166165379387795,0.000289289845818517,0.261323886611018
"England",2021-11-21,56027105.6,6970629.98138091,41127072,80487.8040772098,15837.9538856294,18271771.6320035,0.734056695586288,0.326123783056955,0.0014365868665757,0.000282683778075258,56027105.6,5365712.28971973,41127072,76467.4059935791,15091.1917174799,16590348.0452163,0.734056695586288,0.296112887994991,0.00136482877661949,0.000269355190775371,56027105.6,8096709.49564594,41127072,85511.2865749173,16852.1986428549,21134269.7831461,0.734056695586288,0.377215091817024,0.00152624851237929,0.000300786529348304,0.236913088010756
"Finland",2021-11-21,5540718,1007737.95773336,4211093,15724.590314511,3215.15478454602,362194.070253658,0.7600265886118,0.0653695189420681,0.00283800588922068,0.000580277643537538,5540718,848661.202594015,4211093,12507.6648583731,2348.5880226353,261356.754083041,0.7600265886118,0.0471701960076368,0.00225740867129009,0.000423877920268691,5540718,1097395.93501773,4211093,21789.2140888589,4732.36502099504,555650.636354087,0.7600265886118,0.10028495158102,0.00393256146384979,0.000854106818104628,0.289913870368425
"France",2021-11-21,65273512,7355645.80219801,51176595,103077.174929662,22641.2616875716,10782872.8589256,0.784033115913849,0.165195230477649,0.0015791577896048,0.00034686752702339,65273512,6335438.71967996,51176595,98581.7873316758,21424.7703709824,9834278.72669579,0.784033115913849,0.15066262600817,0.00151028777694198,0.00032823069748388,65273512,8052121.10422691,51176595,110915.527222552,24444.1691139584,12734511.2302689,0.784033115913849,0.195094623225864,0.00169924252310113,0.000374488339373533,0.268405321901478
"Germany",2021-11-21,83783945,21212583.8283857,54230068,276671.064190954,54741.5637989929,8883798.49984891,0.64726085648032,0.106032229681342,0.00330219667014909,0.000653365794592184,83783945,20174693.7249813,54230068,247957.720255868,46843.2857099032,8125957.29826552,0.64726085648032,0.0969870456477732,0.0029594896761649,0.000559096205244372,83783945,21913262.0948934,54230068,303828.070471343,61847.3289638862,10149847.8995657,0.64726085648032,0.121143112795246,0.00362632805690092,0.000738176376916678,0.286347223206069
"Greece",2021-11-21,10423056,1776626.5591005,6546668,51013.1224811272,14263.3086409339,2510438.88758407,0.628094869681215,0.240854398900291,0.00489425773795394,0.00136843826234205,10423056,1383990.440621,6546668,45464.1396049521,12644.4237674661,2189635.74515925,0.628094869681215,0.210076175850849,0.0043618819283857,0.00121312058262626,10423056,2016678.45537884,6546668,56859.0398996637,16028.4750992049,3087514.78895215,0.628094869681215,0.296219725668955,0.00545512178958491,0.00153779036582025,0.287750540724333
"Hungary",2021-11-21,9660350,0,5887042,12367.3988210977,2638.77570243299,7008851.11190248,0.609402557878337,0.725527658097531,0.00128022264422073,0.000273155289656481,9660350,0,5887042,11968.3193409891,2550.09789499573,6283259.97394126,0.609402557878337,0.650417425242487,0.00123891156541834,0.00026397572499917,9660350,0,5887042,12934.4115152329,2763.84366669165,8309652.47523035,0.609402557878337,0.860181305566605,0.00133891748386269,0.000286101814809158,0.267500038818469
"Italy",2021-11-21,60461828,6841414.69443429,46142482,106056.459115524,23155.7212178658,10230668.4486436,0.763167167224914,0.169208718741411,0.00175410606367251,0.000382980832433081,60461828,5565839.14561633,46142482,101128.985231271,21968.0755007441,9335196.39405973,0.763167167224914,0.154398183165414,0.00167260879428375,0.000363337931177737,60461828,7523124.99247806,46142482,111734.358606932,24449.4897912718,11990988.3931427,0.763167167224914,0.198323285778635,0.0018480148930815,0.000404378937918843,0.298408427214606
