age_group,median_perc_male,ci_95_lb_male,ci_95_ub_male,median_perc_female,ci_95_lb_female,ci_95_ub_female,median_perc_mean,ci_95_lb_mean,ci_95_ub_mean
0-19,0.2,0.08,0.2,0.1,0.07,0.2,0.1,0.08,0.2
20-29,0.6,0.3,0.9,0.5,0.3,0.8,0.5,0.3,0.8
30-39,1.2,0.7,1.9,0.9,0.5,1.5,1.1,0.6,1.7
40-49,1.6,0.9,2.6,1.3,0.7,2.1,1.4,0.8,2.3
50-59,3.2,1.8,5.2,2.6,1.5,4.2,2.9,1.6,4.7
60-69,6.7,3.7,10.9,5.1,2.9,8.3,5.8,3.3,9.5
70-79,11,6.2,17.9,7.8,4.4,12.8,9.3,5.2,15.1
80+,37.6,21.1,61.3,19.3,10.9,31.6,26.2,14.8,42.7
